index;city;proj_number;country;Quantitative visual analysis of Scale database by categories;;;;;
0;Aachen;1;Germany;Project SCALE DATABASE (Smart Cities Marketplace)(https://smart-cities-marketplace.ec.europa.eu/projects-and-sites);;;;;
1;Aarhus;1;Denmark;;;;;;
2;Ajaccio;1;France;1. Graphical pepresentation of cities and projects;;;;;
3;Alessandria;1;Italy;2. Map the 18 projects, 48 lighthouse cities, 72 fellow cities;;;;;
4;Alingsås;1;Sweden;;;;;;
5;Alkmaar;1;Netherlands;;;;;;
6;Almere;1;Netherlands;;;;;;
7;Amsterdam;5;Netherlands;;Row Labels;Sum of proj_number;;;
8;Antalya;1;Türkiye;;Austria;10;;Austria;10
9;Apeldoorn;1;Netherlands;;Belgium;2;;Belgium;2
10;Asparrena;1;Spain;;Bulgaria;3;;Bulgaria;3
11;Augsburg;1;Germany;;Croatia;2;;Croatia;2
12;Ballerup;1;Denmark;;Czechia;1;;Czechia;1
13;Barcelona;1;Spain;;Denmark;9;;Denmark;9
14;Belgrade;1;Serbia;;Estonia;3;;Estonia;3
15;Bilbao;3;Spain;;Finland;12;;Finland;12
16;Birštonas;1;Lithuania;;France;17;;France;17
17;Bolzano;2;Italy;;Germany;17;;Germany;17
18;Bratislava;1;Slovakia;;Hungary;5;;Hungary;5
19;Brescia;1;Italy;;Ireland;4;;Ireland;4
20;Bristol;1;United Kingdom;;Italy;15;;Italy;15
21;Budapest;1;Hungary;;Latvia;2;;Latvia;2
22;Cerdanyola del Vallès;1;Spain;;Lithuania;1;;Lithuania;1
23;Cernier;1;Switzerland;;Netherlands;19;;Netherlands;19
24;Cesis;1;Latvia;;Norway;5;;Norway;5
25;Chorzow;1;Poland;;Poland;2;;Poland;2
26;Coventry;1;United Kingdom;;Portugal;3;;Portugal;3
27;Daugavpils;1;Latvia;;Romania;1;;Romania;1
28;Delft;2;Netherlands;;Serbia;1;;Serbia;1
29;Dijon;1;France;;Slovakia;2;;Slovakia;2
30;Drammen;1;Norway;;Slovenia;2;;Slovenia;2
31;Dresden;1;Germany;;Spain;30;;Spain;30
32;Drobeta Turnu Severin;1;Romania;;Sweden;17;;Sweden;17
33;Dundalk;1;Ireland;;Switzerland;4;;Switzerland;4
34;Eibar;1;Spain;;Türkiye;6;;Türkiye;6
35;Eindhoven;1;Netherlands;;United Kingdom;13;;United Kingdom;13
36;Erlangen;1;Germany;;Grand Total;208;;;
37;Eskilstuna;1;Sweden;;;;;;
38;Espoo;1;Finland;;;;;;
39;Evora;1;Portugal;;;;;;
40;Falkenberg;1;France;;;;;;
41;Firenze;1;Italy;;;;;;
42;Galanta;1;Slovakia;;;;;;
43;Galway;1;Ireland;;;;;;
44;Geneva;1;Switzerland;;;;;;
45;Genoa;2;Italy;;;;;;
46;Glasgow;1;United Kingdom;;;;;;
47;Göteborg;3;Sweden;;;;;;
48;Grenoble;3;France;;;;;;
49;Groningen;1;Netherlands;;;;;;
50;Halmstad;1;Sweden;;;;;;
51;Hamburg;1;Germany;;;;;;
52;Hannover;1;Germany;;;;;;
53;Hartberg;1;Austria;;;;;;
54;Heerlen;2;Netherlands;;;;;;
55;Helsingborg;1;Sweden;;;;;;
56;Helsingør;1;Denmark;;;;;;
57;Helsinki;1;Finland;;;;;;
58;Hillerød;1;Denmark;;;;;;
59;Høje-Taastrup;1;Denmark;;;;;;
60;Hvar;1;Croatia;;;;;;
61;Innsbruck;2;Austria;;;;;;
62;Istanbul;3;Türkiye;;;;;;
63;Jyväskylä;1;Finland;;;;;;
64;Köln;2;Germany;;;;;;
65;Kortrijk;1;Belgium;;;;;;
66;Kranj;1;Slovenia;;;;;;
67;Kremsmünster;1;Austria;;;;;;
68;Laguna de Duero;1;Spain;;;;;;
69;Lapua;1;Finland;;;;;;
70;Lecce;1;Italy;;;;;;
71;Leipzig;1;Germany;;;;;;
72;Limerick;1;Ireland;;;;;;
73;Lisbon;1;Portugal;;;;;;
74;Ljubljana;1;Slovenia;;;;;;
75;London;5;United Kingdom;;;;;;
76;Lulea;1;Sweden;;;;;;
77;Lund;1;Sweden;;;;;;
78;Lyon;3;France;;;;;;
79;Måbjerg;1;Denmark;;;;;;
80;Madrid;3;Spain;;;;;;
81;Mafra;1;Portugal;;;;;;
82;Malmö;2;Sweden;;;;;;
83;Manchester;1;United Kingdom;;;;;;
84;Milano;2;Italy;;;;;;
85;Milton Keynes;1;United Kingdom;;;;;;
86;Mödling;1;Austria;;;;;;
87;Montieri;1;Italy;;;;;;
88;Mórahalom;1;Hungary;;;;;;
89;München;3;Germany;;;;;;
90;Murcia;1;Spain;;;;;;
91;Nantes;2;France;;;;;;
92;Napoli;1;Italy;;;;;;
