,iso_alpha,country,proj_number
0,AUT,Austria,10
1,BEL,Belgium,2
2,BGR,Bulgaria,3
3,CHE,Switzerland,4
4,CZE,Czechia,1
5,DEU,Germany,17
6,DNK,Denmark,9
7,ESP,Spain,30
8,EST,Estonia,3
9,FIN,Finland,12
10,FRA,France,17
11,GBR,United Kingdom,13
12,HRV,Croatia,2
13,HUN,Hungary,5
14,IRL,Ireland,4
15,ITA,Italy,15
16,LTU,Lithuania,1
17,LVA,Latvia,2
18,NLD,Netherlands,19
19,NOR,Norway,5
20,POL,Poland,2
21,PRT,Portugal,3
22,ROU,Romania,1
23,SRB,Serbia,1
24,SVK,Slovakia,2
25,SVN,Slovenia,2
26,SWE,Sweden,17
27,TUR,Turkey,6
