,index,city,proj_number,country,location_info,country1
0,0,Aachen,1,Germany,"Aachen, Städteregion Aachen, North Rhine-Westphalia, Germany",Germany
1,1,Aarhus,1,Denmark,"Aarhus, Aarhus Municipality, Central Denmark Region, 8000, Denmark",Denmark
2,2,Ajaccio,1,France,"Ajaccio, South Corsica, Corsica, Metropolitan France, 20000, France",France
3,3,Alessandria,1,Italy,"Alessandria, Piedmont, Italy",Italy
4,4,Alingsås,1,Sweden,"Alingsås, Alingsås kommun, Västra Götaland County, 441 30, Sweden",Sweden
5,5,Alkmaar,1,Netherlands,"Alkmaar, North Holland, Netherlands",Netherlands
6,6,Almere,1,Netherlands,"Almere, Flevoland, Netherlands",Netherlands
7,7,Amsterdam,5,Netherlands,"Amsterdam, North Holland, Netherlands",Netherlands
8,8,Antalya,1,Turkey,"Antalya, Muratpaşa, Antalya, Mediterranean Region, 07050, Turkey",Turkey
9,9,Apeldoorn,1,Netherlands,"Apeldoorn, Gelderland, Netherlands",Netherlands
10,10,Asparrena,1,Spain,"Asparrena, Arabako lautada/Llanada Alavesa, Álava, Autonomous Community of the Basque Country, Spain",Spain
11,11,Augsburg,1,Germany,"Augsburg, Bavaria, Germany",Germany
12,12,Ballerup,1,Denmark,"Ballerup, Måløv, Ballerup Municipality, Capital Region of Denmark, 2750, Denmark",Denmark
13,13,Barcelona,1,Spain,"Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",Spain
14,14,Belgrade,1,Serbia,"Belgrade, City of Belgrade, Central Serbia, 11000, Serbia",Serbia
15,15,Bilbao,3,Spain,"Bilbao, Biscay, Autonomous Community of the Basque Country, Spain",Spain
16,16,Birštonas,1,Lithuania,"Birštonas, Birštono seniūnija, Birštonas Municipality, Kaunas County, Lithuania",Lithuania
17,17,Bolzano,2,Italy,"Bolzano - Bozen, South Tyrol, Trentino-Alto Adige/Südtirol, Italy",Italy
18,18,Bratislava,1,Slovakia,"Bratislava, Region of Bratislava, Slovakia",Slovakia
19,19,Brescia,1,Italy,"Brescia, Lombardy, Italy",Italy
